bgc_id,name,C,H,O,base_status,generability_class,forward_verdict,formula_feasible,in_range,bucket_size_approx,recovered_program
BGC0001275,6-methylsalicyclic acid,8,8,3,reachable,,recovered,True,True,1,"Program(starter='acetyl', cycles=(Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KR: 'kr'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>)), release=<Release.ALDOL_AROMATIC: 'aldol_aromatic'>)"
BGC0001276,6-methylsalicyclic acid,8,8,3,reachable,,recovered,True,True,1,"Program(starter='acetyl', cycles=(Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KR: 'kr'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>)), release=<Release.ALDOL_AROMATIC: 'aldol_aromatic'>)"
BGC0001280,betaenone C,21,34,5,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001281,ustilagic acid,36,64,18,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001304,aflavarin,24,22,9,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001305,fujikurin B,12,18,5,unreachable,coverage-limited-structural,sound-structural-gap,True,True,262,
BGC0001309,usnic acid,18,16,7,unreachable,coverage-limited-structural,sound-structural-gap,True,True,0,
BGC0001338,citrinin,13,14,5,unreachable,coverage-limited-structural,sound-structural-gap,True,True,6,
BGC0001339,squalestatin S1,35,46,13,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001340,byssochlamic acid,18,20,6,unreachable,coverage-limited-structural,sound-structural-gap,True,True,544,
BGC0001373,sordarin,27,40,8,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001385,byssochlamic acid,18,20,6,unreachable,coverage-limited-structural,sound-structural-gap,True,True,544,
BGC0001390,LL-Z1272beta,23,32,3,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
