bgc_id,name,baseline,status_rescan,curve,classes,n_classes
BGC0001874,α-cyclopiazonic acid,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001881,pyrichalasin H,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001966,BII-rafflesfungin,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0001982,pyrichalasin H,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002035,ilicicolin H,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002066,harzianopyridone,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002067,atpenin B,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002093,ilicicolin H,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002158,tenuazonic acid,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002169,acurin A,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002171,pyrophen,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002186,fusaristatin A,skip_element,skip_element,heteroatom,N_incorporation,1
BGC0002188,W493 B,skip_element,skip_element,heteroatom,N_incorporation,1
