bgc_id,name,carbons,C,H,O,base_status,formula_feasible,kappa_8000,class,soundness,budget_exhausted,n_programs_executed,n_pruned_overshoot,runtime_s
BGC0002206,harziphilone,15,15,18,4,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,4525,163584,7.028
BGC0002209,ustethylin A,11,11,14,5,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,220,18896,0.288
BGC0002222,zopfiellin,21,21,26,7,too_large,True,0,coverage-limited-structural,HEURISTIC,False,10,292352,14.768
BGC0002223,scytalidin,22,22,28,7,too_large,True,0,coverage-limited-structural,HEURISTIC,False,90,285440,19.724
BGC0002224,zopfiellin,21,21,26,7,too_large,True,0,coverage-limited-structural,HEURISTIC,False,10,292352,14.831
BGC0002233,trichoxide,18,18,26,4,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,41390,289024,59.251
BGC0002234,flavoglaucin,19,19,28,3,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,70981,231936,109.832
BGC0002235,"12,13-dihydroxymagnaporthepyrone",16,16,20,5,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,800,166144,5.161
BGC0002236,8-methyldiaporthin,14,14,16,5,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,750,159808,2.859
BGC0002238,"2,4'-dihydroxy-3'-methoxypropiophenone",10,10,12,4,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,176,7920,0.155
BGC0002241,ywa1,14,14,12,6,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,0,159808,2.395
BGC0002243,biruloquinone,17,17,10,7,unreachable,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0002244,pestalotiollide B,21,21,22,7,too_large,True,0,coverage-limited-structural,HEURISTIC,False,0,292352,14.812
BGC0002249,phaeospelide A,34,34,50,8,too_large,True,0,coverage-limited-structural,HEURISTIC,False,1451,224000,58.412
BGC0002255,lijiquinone,23,23,26,5,too_large,True,0,coverage-limited-structural,HEURISTIC,False,150,212480,21.879
BGC0002257,rufoschweinitzin,30,30,30,8,too_large,True,0,coverage-limited-structural,HEURISTIC,False,0,192000,43.264
BGC0002258,shimalactone A,29,29,40,4,too_large,True,0,coverage-limited-structural,HEURISTIC,False,35697,258560,126.738
BGC0002262,sporothriolide,13,13,18,4,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,7925,107264,7.054
