bgc_id,name,carbons,status,z_star_size,example_program
BGC0002904,fumonisin B2,0,skip_element,0,
BGC0002911,naringenin,15,unreachable,0,
BGC0002930,6'-O-demethyl-dihydroaustalide K,24,too_large,0,
BGC0002936,Gyrophoric acid,24,too_large,0,
BGC0002953,11'-O-desmethyl fendlerol,26,too_large,0,
BGC0002966,luteodienoside A,23,too_large,0,
BGC0002970,xylariolide D,10,unreachable,0,
BGC0002971,Fugralin A,12,unreachable,0,
BGC0002980,sphingofungin B,0,skip_element,0,
BGC0002984,Brefeldin A,16,unreachable,0,
BGC0002987,scirpilin A,26,too_large,0,
BGC0002993,Oxopyrrolidine A,0,skip_element,0,
BGC0002998,ilicicolinal,0,skip_element,0,
BGC0002999,(2S)-annullatin A,17,unreachable,0,
BGC0003006,Rasfonin,25,too_large,0,
BGC0003011,Eupenifeldin,33,too_large,0,
BGC0003013,agonodepside A,23,too_large,0,
BGC0003017,Macrollin A,0,skip_element,0,
BGC0003018,sclerotiorin,0,skip_element,0,
BGC0003028,Terrestric acid,11,unreachable,0,
BGC0003032,soppiline A,21,too_large,0,
BGC0003093,Phomoxanthone A,38,too_large,0,
BGC0003094,Roseopurpurin C,18,unreachable,0,
BGC0003099,"7-But-15-enyl-6,8-dihydroxy-3(R)-pent-11-enylisochroman-1-one",18,unreachable,0,
BGC0003108,pycnidione,33,too_large,0,
BGC0003109,stachysalicyloid C,16,unreachable,0,
BGC0003113,multiformin A,24,too_large,0,
BGC0003115,orsellinoxypropanoic acid,11,unreachable,0,
BGC0003118,Multiforisin H,13,unreachable,0,
BGC0003120,Minutellin A,27,too_large,0,
BGC0003126,kotanin,24,too_large,0,
BGC0003142,FDDP D,29,too_large,0,
BGC0003144,Physodic acid,26,too_large,0,
BGC0003145,macrophasetin A,0,skip_element,0,
BGC0003147,Taslactam C,0,skip_element,0,
BGC0003149,Taslactam D,0,skip_element,0,
BGC0003150,Ascochitine,15,unreachable,0,
BGC0003151,Annullatin D,17,unreachable,0,
BGC0003154,cyclopiazonic acid,0,skip_element,0,
